spelling	defined_meaning_id
science économique	1061
système économique	1063
conjoncture	996216
viabilité économique	1066
économie	1061
économie	1068
écopédiatrie	1069
écotourisme	1076
éducation	1087
effet	1092
effet	340673
effet	343479
oeuf	1100
élasticité	1104
électricité	1109
production d'énergie électrique	1112
centrale électrique	1117
électrolyse	1121
électronique	1123
électronique	497167
électronique	712881
électronique	1124332
pollution électromagnétique	1126
élément chimique	1137
embryon	1139
embryon	7696
embryogénèse	1140
émission	479863
émission	1398091
emploi	4228
emploi	434671
emploi	1017986
encyclopédie	1164
espèce menacée	684182
technologie énergétique	1195
application	1199
application	433170
application	704849
moteur	1200
chimie environnementale	1219
informatique environnementale	1263
protection de l'environnement	1297
environnement	476927
enzyme	1332
épidémie	1333
équipement	1336
substance corrosive	1347
éthique	480728
éthologie	1351
Europe	1354
Europe	366712
Union européenne	1361
eutrophisation	1362
évaluation	1363
évaluation	683502
évolution	1369
évolution	465254
science exacte	1370
exploration	956546
explosion	1385
exposition	1390
exposition	426835
extraction	1396
tissu	3781
tissu	6620
famille	1405
famille	8150
famille	8152
famille	347856
famille	638783
animal d'élevage	1408
engrais	1421
fibre de verre	1424
fibre de verre	766428
champ	1425
champ	1246449
champ	1407721
champ	1407724
champ	1407727
champ	1407730
champ	1407733
champ	1407745
champ	1407751
champ	1407754
station-service	1116447
film	1431
film	157782
filtre	1432
filtre	379432
amende	1444
incendie	7036
firme	1453
ressource halieutique	1468
poisson	1460
pisciculture	1461
stock de poisson	1468
arôme	1475
arôme	6522
crue	1480
inondation	1480
flore	4212
débit	424918
débit	444669
débit	544688
fleur	1068317
fleur	1487
fleur	1099284
champ d'un écoulement	1489
gaz de carneau	1491
agent moussant	1500
brouillard	1502
brume	1503
brume	1730
brume	7519
brume	7521
feuillage	1504
aliment	1505
sentier pedestre	1525
prévision	1528
saisie	3368
forêt	1533
forêt	1068033
sylviculture	1548
sylviculture	680441
moteur à quatre temps	1557
eau douce	1562
biologie de l'eau douce	1563
écosystème d'eau douce	1565
grenouille	1570
gel	1571
fruit	1572
fruit	6280
combustible	1575
combustible	523957
fioul	918
fumée	1583
fumée	3451
mycète	1587
four industriel	1593
meubles	1594
gibier	1599
gibier	8266
gibier	8267
jardin	1601
garrigue	1603
gaz	1604
gaz	5829
réseau gazier	1614
moteur à essence	1616
alimentation en gaz	1622
gastéropode	1623
chimie générale	1628
génétique	948886
géographie	1642
géologie	1645
géophysique	1648
géophysique	927520
germe	1651
germe	7631
germe	701070
protoplasme des germes	1653
glaciologie	1655
verre	351365
verre	520831
colle	46
golf	1666
céréale	1674
herbe	1675
herbe	8246
herbe	465010
sauterelle	1677
prairie	1678
pâturage	2725
effet de serre	1689
gaz à effet de serre	1690
broyage	1695
eaux souterraines	1697
golfe	1702
grêle	1707
port	1717
récolte	1722
danger	1723
danger	7456
santé	1732
soins de santé	1733
chaleur	1746
chaleur	1139800
lande	1749
chauffage	1750
pompe à chaleur	1752
herbivore	1760
herbivore	1376134
voie ferrée à grande vitesse	1767
train à grande vitesse	1768
route	3258
colline	1772
site historique	1776
histoire	1777
histoire	7545
histoire	154507
histoire	154518
histoire	449236
vacances	1779
cheval	1780
cheval	1205219
cheval	1205224
hôpital	1782
eau chaude	1785
logement	1789
logement	4380
population	2930
population	5379
population	662935
établissement humain	1808
humus	7403
hydraulique	1817
hydraulique	500832
hydraulique	903892
hydrocarbure	1819
culture hors sol	1821
hydrogène	1823
hydrogéologie	1825
cycle de l'eau	1829
glace	1837
glace	5575
glace	5590
glace	7472
glace	153768
glace	520838
iceberg	1838
traitement de l'image	1842
importation	1864
pente	392007
revenu	1876
revenu	455630
revenu	1573443
incorporation	1877
Océan indien	1879
indicateur	954345
environnement intérieur	1887
processus industriel	1910
industrie	1922
infection	1926
infection	757236
substance inflammable	1931
affluent	858899
informatique	1934
information	1935
infrastructure	355779
habitant	1945
habitant	8529
blessure	1946
innovation	1952
insectivores	1958
insecte	1959
in situ	1960
assurance	1968
assurance	1341113
compagnie d'assurance	1969
accord international	1988
normalisation internationale	2004
commerce international	2005
inversion	2012
iode	2018
ion	2023
fer	2024
île	2031
juridiction	2042
juridiction	7192
karst	1507851
kérosène	2046
kérosène	924753
kérosène	924761
étiquetage	2047
travail	4228
travail	5660
bassin lacustre	2059
lac	2061
lampe	2062
pays	5671
pays	1407431
pays	1407441
pays	1407449
pays	1407457
cadastre	2086
relief	923950
aménagement du territoire	2083
aménagement du territoire	500125
éboulement	2103
laser	2111
loi	2113
loi	4549
plomb	2119
feuille	2124
feuille	336574
feuille	730441
feuille	1448923
fuite	2125
fuite	6569
fuite	7096
fuite	376146
fuite	480389
cuir	2126
corps législatif	2139
responsabilité	2146
responsabilité	749307
bibliothèque	2150
bibliothèque	366721
bibliothèque	986197
lumière	2158
lumière	452790
lumière	1192450
calcaire	2164
calcaire	8180
calcaire	685033
lipide	2170
purin	158024
état liquide	2174
littérature	2176
critique littéraire	1033963
critique littéraire	1162944
lithosphère	2180
locomotive	2199
effet à long terme	2202
tendance à long terme	2206
camion	2207
perte	2208
sonorité	2210
luminosité	666093
système lymphatique	2220
magnétisme	2226
paludisme	2230
mammifère	2233
homme	2234
homme	6397
gestion	467820
carte	2249
carte	6378
carte	357190
carte	435911
carte	470664
biologie marine	2256
droit maritime	2271
marqueur	2274
marqueur	7203
marqueur	7209
traceur	2275
marché	2276
marché	485541
marketing	2279
moyen de transport	1009644
viande	2300
médecine	2305
membrane	2309
mercure	2311
métabolisme	2313
métabolite	2315
industrie métallurgique	448521
revêtement métallique	2321
métal	2324
prévision météorologique	2328
prévision météorologique	4133
météorologie	4129
micro-ordinateur	7946
microélectronique	2343
lait	2358
moulin	2359
mine	2360
mine	1336843
gisement	1407742
mesure d'atténuation	2387
forêt mixte	5061
mélanger	334889
mélanger	982997
modèle	2393
modèle	8243
modèle	8264
modèle	159792
modèle	461886
modèle	467151
modèle	1556355
humidité	2395
humidité	928775
surveillance	2399
monument	2408
tourbière	4704
mortalité	2412
vélomoteur	2414
carburant	2415
véhicule à moteur	2416
autoroute	1771
autoroute	2420
montagne	2421
massif montagneux	2425
firme multinationale	2431
commune	5974
musée	2443
musique	2445
musique	5579
mycologie	2454
catastrophe naturelle	686335
nausée	2494
nausée	365344
nécrose	2496
besoin	2497
besoin	1051964
système nerveux	2500
neutralisation	2504
neutralisation	1013871
azote	2514
bruit	5290
bruit	1251677
nomenclature	3746
organisation non gouvernementale	6436
norme	3604
norme	1124233
normalisation	2560
normalisation	3605
Afrique du Nord	2561
Amérique du Nord	2562
aliment nouveau	2565
élément de combustible nucléaire	2574
physique nucléaire	2576
centrale nucléaire	2578
réaction nucléaire	2580
réacteur nucléaire	2581
essai nucléaire	2584
pépinière	2588
objection	539685
sécurité du travail	4807
réglementation de sécurité au travail	2607
océan	2608
courant océanique	2610
odonates	2615
odeur	2616
odeur	5598
puanteur	6523
bureau	2619
bureau	6297
bureau	6545
bureau	1317170
barrière de confinement	1587900
oléoduc	2811
marée noire	2637
déversement de pétrole	2645
olfactométrie	2651
oncologie	2653
opinion	2657
minerai	2659
organisme	2668
organisme	839786
ornithologie	2678
osmose	2681
surexploitation	2685
surpêche	2687
surpopulation	2690
propriété	5664
propriété	435478
propriété	716007
oxydation	2694
couche d'ozone	2704
peinture	2709
peinture	6899
peinture	960338
entreprise de peinture	2710
papier	2713
parasite	2716
parasite	1131829
particule	2722
particule	6926
particule	461105
séparateur de particules	2723
agent pathogène	1651
pathologie	2730
zone piétonnière	2734
pénalité	1575013
pentachlorophénol	2738
perméabilité	2744
déprédateur	2751
infestation parasitaire	2757
infestation parasitaire	7158
essence	2760
essence	7681
pétrole	2761
philosophie	2773
photo	2785
photo	340224
photosynthèse	2786
propriété physique	2794
propriété physique	615097
physique	2798
projet pilote	2809
pipeline	2811
tuyau	2812
tuyau	7699
tuyau	406870
plaine	2813
plan	2814
plan	6548
plan	705894
plante	2836
platine	2842
terrain de jeu	2843
plutonium	2844
braconnage	2845
poison	2847
police	2852
politique	2854
politique	2855
politique	487309
organisation politique	2865
pollen	2868
mesure de pollution	2908
polybromobiphényle	2914
étang	2925
mare	2925
mare	1571158
accroissement de la population	2932
prédateur	2947
conserve	6493
conserve	452618
pression	2956
pression	967878
pression	1431422
prix	778
prix	2959
prix	345982
prix	1575117
primates	2964
imprimerie	2969
produit	368260
productivité	450597
bénéfice	2994
bénéfice	469689
bénéfice	536267
programme	2996
programme	479859
programme	479863
programme	1458511
gaz propulseur	3001
protéine	3015
province	3018
province	653448
maladie psychosomatique	3025
sondage d'opinion	935794
parquet	452785
parquet	1408167
service public	3047
pâte à papier	3053
pompe	5948
pompe	439253
achat	3057
pyrolyse	3062
carrière	522195
radar	482665
radio	3080
radio	5767
retombée radioactive	3085
radioactivité	3092
radionucléide	3093
radon	3094
véhicule ferroviaire	3096
voie ferrée	3099
voie ferrée	427724
pluie	3100
forêt pluviale	3101
colza	3106
reboisement	3115
recommandation	61
recommandation	1487474
récréation	3123
roseau	3137
réflexion	3141
réflexion	428734
étude de la lumière réfléchie	3142
réfrigérant	3143
réfrigérateur	358385
zone de refuge	3147
réfugié	3148
région	6817
région	1400618
enregistrement	3163
ordonnance	441144
ordonnance	7184
réhabilitation	3170
religion	3175
élimination	1037281
substitution	3183
substitution	6674
représentation	3411
représentation	364780
représentation	1047430
reproduction	3188
reproduction	433784
reproduction	703381
reptile	1033853
recherche	3192
bassin de retenue	3196
zone résidentielle	866432
résine	1327021
résolution	3207
résolution	444266
résolution	637192
résolution	637771
résolution	637888
exploitation des ressources	3212
respiration	3215
respiration	370385
restauration	3224
restauration	350670
commerce de détail	536332
riz	3236
riz	395506
droit de pétition	3237
fleuve	3253
roche	3266
rongeur	3268
racine	3269
racine	8369
racine	8478
racine	697213
itinéraire	6707
caoutchouc	949250
industrie du caoutchouc	3275
sécurité	3284
salamandre	3291
salamandre	1215896
pré salé	3297
sels	3299
sanction	3304
sable	3305
dune de sable	3307
sablière	3309
sablière	1397459
sablière	1397585
schistosomiase	3319
établissement scolaire	3320
science	3322
ferraille	3330
mer	3333
mer	6154
mer	1571148
mer	1571158
mer	1571167
mer	1571182
fond marin	3334
circulation maritime	3337
saison	3345
saison	7164
saison	7179
eau de mer	3347
dessalement de l'eau de mer	3348
bassin de sédimentation	3356
sédimentation	3357
graine	3361
raz de marée	3367
semi-conducteur	3378
produit semi-manufacturé	3379
fosse septique	3386
serpent	3388
serpent	7418
secteur des services	5352
coquillage	3400
coquillage	161542
coquillage	456516
bateau	7774
bateau	1235850
magasin	3409
magasin	157770
magasin	341452
centre commercial	3410
spectacle	3411
arbuste	3414
syndrome de l'immeuble insalubre	3416
effet secondaire	3417
silencieux	3420
silencieux	5759
silencieux	5763
silencieux	6856
silencieux	445786
argent	3424
argent	6408
argent	773000
simulation	1235206
calibrage	3428
skier	452960
peau	3430
abattoir	3433
sommeil	3436
écluse	3444
écluse	6547
tabagisme	3453
neige	3455
neige	8047
neige	357040
savon	3458
condition sociale	534759
sociologie	3489
adoucissement	1171018
logiciel	3493
sol	3494
sol	6679
sol	1051524
carte pédologique	3515
rayonnement solaire	3544
son	7851
son	342069
son	342360
son	3556
son	932613
Amérique du Sud	3564
Asie du Sud-Est	3566
Afrique du Sud	3567
Afrique du Sud	7933
Asie du Sud	3568
Océan pacifique Sud	3569
déchet spécial	3579
espèce	3580
vitesse	501082
limitation de vitesse	3587
araignée	3588
éponge	7191
éponge	1385671
sport	3592
bombe aérosol	721082
source	3596
source	6362
source	355446
source	507893
eau de source	3597
carré	347635
carré	544478
carré	1386504
étable	3602
amidon	3608
état	3609
état	3614
état	481714
état	494331
état	494343
état	494346
état	494350
état de la matière	3614
gare	3615
gare	6920
analyse statistique	3616
acier	3625
industrie de l'acier	3626
pierre	3633
pierre	7040
pierre	339617
pierre	441479
tempête	3635
étuve	3637
stratosphère	3639
stress	3644
sous-marin	8430
sous-marin	3652
sous-marin	987670
affaissement	3654
affaissement	7180
sous-sol	500695
substituabilité	3658
banlieue	3663
sucre	3664
sucre	6140
sulfure	3667
soufre	3668
dioxyde de soufre	3670
surplus	406456
enquête	897
enquête	518831
enquête	620284
marais	3689
édulcorant	3690
fibre textile synthétique	3699
camion citerne	3704
tarif	1346391
sable asphaltique	3712
taxonomie	3718
taxonomie	691820
enseignement	3719
télévision	3734
télévision	7295
température	3738
terminologie	3746
terminologie	351793
territoire	2063
territoire	3752
territoire	6819
territoire	441658
territoire	1407698
territoire	1407707
secteur tertiaire	5352
test	6540
test	1242915
textile	3760
étain	3780
crapaud	3784
tabac	3785
tabac	420209
tornade	3787
tortue terrestre	3788
tourisme	3790
commerce	3409
syndicat	869213
trafic	3821
trafic	8451
encombrements	3828
train	3834
train	1425268
trajectoire	3837
transpiration	3842
transpiration	1250835
transport	3846
transport	3848
transport	1009644
voyage	7542
voyage	461234
traité	3853
traité	531816
arbre	3854
arbre	7862
tendance	392007
tropiques	3866
troposphère	3867
tumeur	3870
toundra	3871
tunnel	3872
turbidité	3873
moteur à deux temps	3877
typhon	3881
pneu	3882
métro	3890
métro	5080
Nations Unies	3896
carburant sans plomb	3897
Sénat	3901
uranium	3902
urbanisation	3913
population urbaine	3919
vandalisme	3941
vernis	3944
vernis	7150
huile végétale	3950
légume	3953
légume	1146319
végétation	4212
véhicule	3957
vibration	3966
village	3968
village	687459
vinasse	7832
virologie	3970
virus	3971
virus	156562
viticulture	3974
vocabulaire	3975
éruption volcanique	3980
volcan	3982
volcan	352305
vulcanisation	3985
espèce vulnérable	684182
mur	3989
guerre	3990
gaspillage	400410
gaspillage	3994
gaspillage	631498
poubelle	419594
tri des déchets	4045
redevance sur les eaux usées	4053
captage d'eau	4070
cascade	4079
puce d'eau	4080
régime hydrologique	4081
avifaune aquatique	4085
augmentation de la salinité de l'eau	4110
ligne de partage des eaux	4115
puits d'eau	4124
vague	4127
vague	7878
vague	421112
vague	540335
vague	1416075
arme	4128
mauvaise herbe	4134
poids	4136
soudage	4137
puits	4138
Afrique de l'Ouest	4139
Asie de l'Ouest	4140
Europe de l'Ouest	4141
appareil de dépoussiérage par voie humide	4145
appareil de dépoussiérage par voie humide	7307
baleine	4147
pêche à la baleine	4148
vent	4160
vent	5829
moulin à vent	1410571
énergie éolienne	688442
centrale à énergie éolienne	4164
femme	4165
femme	5429
bois	4167
bois	4168
bois	741520
laine	4174
monde	4181
monde	8507
délit	4184
délit	8193
rendement	4189
rendement	4896
rendement	450597
rendement	450604
rendement	450614
nourisson	5642
zinc	4193
parc zoologique	4195
zoonose	4197
vie végétale	4212
espèce végétale	4227
profession	4228
profession	744566
propreté	4236
calanque	4253
calanque	157636
gorge	5861
gorge	871313
gorge	1208229
cap	4255
cap	684108
continent	4257
continent	1364993
crique	4259
lit de cours d'eau	4264
réserve	4278
réserve	699696
réserve	721894
alignement	4285
jardin à la française	4287
écocitoyenneté	4298
mammifère marin	4305
abri	4307
frayère	4312
reproduction animale	4316
survie	4317
châtaignier	4323
population végétale	4327
chorologie	4329
jeu	6411
jeu	953587
concours	4363
formation initiale	4365
pédagogie	4366
pédagogie	704060
piste cyclable	4372
hébergement	4380
public	433609
sentier	4382
sentier	866422
densité de population	4390
jeune	4391
jeune	5445
aménagement du temps	4393
certification qualité	4402
socio-économie	4412
Fonds monétaire international	4435
produit intérieur brut	4438
produit intérieur brut	6892
activité commerciale	4451
densité	4458
index	4461
index	158386
recensement	4462
recensement	717195
comité scientifique	4467
semence	1568990
aviculture	4483
transhumance	4485
craie	4489
craie	7042
gare ferroviaire	6920
réseau ferroviaire	4511
navigation	4513
navigation	521210
marine marchande	4514
codification	4536
droits des animaux	4540
avis	4543
ordre	869213
ordre	957698
permis de construire	4551
projet de loi	499173
concession	4556
concession	691442
conflit	3990
justice	4576
procès	4577
tribunal	4578
bail	1423167
certification	508431
répression	4585
répression	923997
répression	924000
biomarqueur	4605
objectif de qualité	4610
bruit de fond	4657
moulin à eau	4665
radioélément	4667
biocarburant	4671
voiture propre	4676
orage	4687
sédimentologie	4699
bassin hydrographique	507
bassin hydrographique	7181
dessalement de l'eau	4705
houle	4709
protection des berges	4715
fontaine	4725
fontaine	7313
pile électrique	318
lactosérum	4761
volcanologie	4804
sécurité industrielle	4807
zone sinistrée	4818
expertise	4826
discours	4834
discours	531816
film documentaire	4837
centre d'information	4844
méthode	4848
pelouse	512035
photographie	2785
photographie	4863
photographie	340224
photographie	960330
bouchon	3828
bouchon	1110564
vote	4866
politique budgétaire	4868
plante fourragère	4898
aliment transformé	4909
machine	2199
machine	1309356
activité de l'entreprise	4933
procédure judiciaire	4985
sciences du comportement	534717
campement	5038
campement	480116
berge	5039
charte	5042
maintenance	5045
porte d'écluse	5058
sanction pénale	5062
charte nautique	5088
politique de protection de la nature	5089
Mer noire	5093
sujet	5098
infrastructure de l'information	5105
centre de données	5107
fournisseur de services internet	5108
réseau grande distance	5110
internet	5111
courrier électronique	5117
système d'aide à la décision	974745
développement logiciel	5142
vecteur	5165
vecteur	826999
vecteur	827002
vecteur	827005
vecteur	827008
point	5166
point	6781
point	8541
point	8542
point	8543
point	8544
ligne	5167
ligne	7806
ligne	451691
ligne	451697
ligne	873185
trame	1266496
trame	1266519
trame	1407040
attribut	5170
latitude	5182
économie des affaires	5188
initiative du citoyen	5207
stockage	5209
recherche spatiale	5211
pêche	1462
pêche	5620
alimentation	450837
services	5352
espace	3570
espace	492124
eau	4118
voiture	482
voiture	415581
machinerie	4927
beaucoup	5423
beaucoup	5765
beaucoup	341841
beaucoup	1268950
un	5433
un	5625
un	5627
un	6244
un	7410
deux	541116
deux	5425
deux	6248
deux	810008
trois	541417
trois	5424
trois	6251
trois	156096
plume	5436
plume	7165
épouse	7415
épouse	5429
mariée	5429
mariée	5565
grand	5437
grand	5562
grand	334680
grand	336041
grand	342619
grand	468135
grand	474912
langue	5440
langue	5441
langue	5442
langue	5713
langue	725357
languette	5441
écorce	5439
aboiement	5443
mari	5432
long	5438
long	5563
long	5564
chat	5446
chat	7581
chat	7582
chat	1304119
quatre	541458
quatre	5447
quatre	6253
cinq	541487
cinq	5448
cinq	6255
cinq	156104
je	5450
tu	5453
tu	5459
lourd	5451
lourd	1347326
petit	5509
petit	7413
il	7795
il	5454
nous	5455
vous	7421
vous	5456
vous	5459
vous	7420
vous	153873
aboyer	5444
mère	5463
père	5464
père	5469
père	347926
corde	5465
corde	7802
corde	690122
corde	690125
bouche	5470
bouche	161654
bouche	332000
nez	5471
cœur	5475
cœur	344374
cœur	344380
cœur	348570
amour	5497
amour	348570
amour	887525
autre	5501
mon	5504
beurre	5505
comment	5494
comment	7481
oreille	5510
oreille	482230
épi	5512
épi	1017966
maison	5517
maison	6232
maison	638769
maison	638783
œil	5511
œil	5518
œil	161647
pleuvoir	5523
tête	5527
tête	5569
neiger	5525
aile	5528
aile	6442
aile	475598
ongle	5529
ongle	828575
nuit	5486
mariage	5531
mariage	5532
mariage	1232037
chanter	5540
chœur	5539
chœur	5542
chœur	5545
frère	5541
frère	5557
frère	371785
frère	371788
frère	371791
sœur	5544
sœur	371794
sœur	371800
sœur	371803
oui	5567
non	5568
non	5576
non	7423
parce que	5570
parce que	341909
parent	5574
parent	6740
parent	545136
parent	934531
bonjour	7637
bonjour	5581
bonjour	399124
au revoir	5582
au revoir	456285
au revoir	1420311
merci	5587
s'il te plaît	5585
s'il vous plaît	5585
s'il vous plaît	5596
tante	454876
tante	5591
bougie	5592
bougie	332061
chandelle	5592
hier	5603
hier	525186
hier	525413
s'arrêter	5607
réponse	376013
tatie	5591
cadeau	5611
présent	5611
présent	425764
présent	533328
présent	626181
automne	5615
aujourd'hui	5621
aujourd'hui	5630
aujourd'hui	5633
aujourd'hui	525417
prison	5623
prison	455117
canapé	5631
chaud	5485
chaud	5637
chaud	7446
chaud	683116
chaud	1139800
bébé	5642
bébé	354172
zéro	5653
zéro	395198
zéro	809644
éléphant	5643
ordinateur	5669
ordinateur	7946
néerlandais	5684
néerlandais	383366
galicien	5686
galicien	866576
français	5687
français	5695
français	376043
français	622829
allemand	5688
allemand	5693
allemand	6649
allemand	622730
Belgique	5689
espagnol	5692
espagnol	383378
coq	5474
coq	6308
très	5723
très	5765
trop	5724
aussi	5725
aussi	5940
aussi	1270995
Canada	5727
question	5714
question	955342
Islande	5728
portée	5731
portée	981147
portée	981161
personnel	5732
personnel	538873
canne	5663
Indonésie	5739
Iran	5740
Iraq	5741
Irlande	5744
Irlande	5745
Italie	5748
Hongrie	5752
Afghanistan	5753
Albanie	5754
Algérie	5755
Antigua-et-Barbuda	5756
Andorre	5757
Azerbaïdjan	5758
Angola	5769
tente	5770
Argentine	5774
Australie	5776
Australie	7880
Autriche	5777
oncle	454876
oncle	5806
ciseaux	5807
demain	5808
demain	402658
demain	525424
problème	5816
problème	5817
problème	335952
mouton	5819
mouton	5854
mouton	1456265
rouge	5828
rouge	1333710
blanc	5825
blanc	5863
blanc	5872
manger	5827
manger	6596
minute	5837
avec	5844
avec	5845
avec	6464
avec	7435
soleil	5849
soleil	5850
soleil	8226
soleil	8227
prochain	5875
électron	5880
ennemi	5882
ennemi	5892
ennemi	413888
canard	5886
canard	542346
outil	5894
félicitations	395332
fête	5900
fête	406120
fête	1273978
accouchement	5896
naissance	5896
naissance	5911
naissance	5917
parturition	5896
cuisine	5903
cuisine	478613
cuisine	479078
garçon	5905
garçon	339447
garçon	411835
anniversaire	5907
anniversaire	433637
croix	5908
maladroit	5897
maladroit	1422426
lourdaud	5897
image	433784
pain	5910
pain	525299
téléphone	5945
seconde	5947
seconde	5957
chaussure	5948
droit	2117
droit	4549
droit	5994
droit	1089520
aiguille	5951
aiguille	5963
aiguille	5964
aiguille	337519
silence	5956
silence	1481760
poivre	5960
lion	5961
hobby	5962
ombre	5966
ombre	682660
orteil	5969
téléphone portable	5952
portable	5952
portable	7625
portable	7626
portable	7947
cellulaire	5952
petit-déjeuner	906499
vapeur	5978
vapeur	539987
pou	5980
corne	5981
corne	869953
gauche	5985
gauche	1422426
mince	5990
près	5996
près	6078
près	6419
près	335208
respirer	5998
entendre	5999
entendre	332649
péjoratif	1145856
impoli	6009
jouer	6010
jouer	485132
jouer	697227
jouer	697231
jouer	697235
jouer	852347
arménien	6014
arménien	6015
arménien	382179
serrer	6017
creuser	6024
sucer	6027
sucer	357106
combattre	6030
Arménien	343001
jaune	6031
jaune	828870
brûler	6039
brûler	844863
brûler	1299599
étoile	6041
couper	6043
couper	1108552
couper	1351742
noir	6033
